StationCode,StationName,MasterID,Latitude,Longitude,HUC,County,SMCShed,SMC_LU,PSA_LU,GISCode,COMID,PSA6c,PSA9c,PSA10c,SampleDate,SampleYear,csci_mean,SampleDate2,h20_mean,PCT_SAFN,H_AqHab,H_SubNat,Ev_FlowHab,XCMG,indexscore_cram,bioticstructure_cram,hydrologicconnectivity_cram,hydroperiodorchannelstability_cram,Cond,NH3,Nitrate,Nitrite,NN,TKN,TN,TP,TN2
405SGB027,San Gabriel Random Site 27,405SGB027,33.79958,-118.09022,405,Los Angeles,SanGabriel,Urban,Urban,405SGB027,22525157,SC,SCx,SCx,5/24/2005,2005,0.426841472,5/24/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,NA,3.7,0.384,NA,1.71,NA,0.194,5.794
405SMB059,Unknown into Malaga Cove Upper,405SMB059,33.80169,-118.39075,404,Los Angeles,SantaMonica,SMC_out,Urban,404M07346,20366125,SC,SCx,SCx,3/5/2003,2003,0.28517061,3/5/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
405SMB060,Unknown into Malaga Cove Lower,405SMB060,33.80299,-118.39655,404,Los Angeles,SanGabriel,SMC_out,Other,404M07346,20366125,SC,SCx,SCx,3/5/2003,2003,0.497247698,3/5/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
845CTC480,Coyote Creek Random Olsen Site 480,845CTC480,33.80415,-118.08258,845,Los Angeles,SanGabriel,Urban,Urban,SMCR8_480,22525001,SC,SCx,SCx,7/8/2008,2008,NA,7/8/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190.8,NA,NA,NA,NA,NA,NA,NA,
845CTC480,Coyote Creek Random Olsen Site 480,845CTC480,33.80415,-118.08258,845,Los Angeles,SanGabriel,Urban,Urban,SMCR8_480,22525001,SC,SCx,SCx,6/11/2012,2012,0.455101586,6/11/2012,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
405M10596,Cerritos Channel d/s of LB Airport,405M10596,33.81024,-118.12821,405,Los Angeles,SanGabriel,SMC_out,Urban,405M10596,22525159,SC,SCx,SCx,4/27/2015,2015,0.313933241,4/27/2015,28,0,0,0,0.17,0,29,27.78,3,NA,1139,0.0587,0.0415,0.0049,NA,NA,2.22,0.156,2.22
405SGB011,San Gabriel Random Site 11,405SGB011,33.8211,-118.09157,405,Los Angeles,SanGabriel,Urban,Urban,405SGB011,22525157,SC,SCx,SCx,5/25/2005,2005,0.472872772,5/25/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1284,NA,3.34,NA,NA,1.84,NA,0.516,
412LARCMP,Compton Creek,412LARCMP,33.8473,-118.2096,412,Los Angeles,LosAngeles,SMC_out,Urban,LALT502,22518272,SC,SCx,SCx,6/30/2005,2005,0.325862118,6/30/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,775,0.132,NA,NA,NA,1.28,NA,0.341,
405SGB015,San Gabriel Random Site 15,405SGB015,33.85783,-118.11163,405,Los Angeles,SanGabriel,NR,NR,405SGB015,22525157,SC,SCx,SCx,5/24/2005,2005,0.156242319,5/24/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007,0.042,0.0189,0.0064,NA,2.85,NA,0.516,2.8753
412LAR023,Los Angeles Random Site 23,412LAR023,33.86185,-118.19653,412,Los Angeles,LosAngeles,Urban,Urban,412LAR023,22518110,SC,SCx,SCx,5/24/2005,2005,0.156975549,5/24/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1453,0.044,2.07,0.75,NA,3.01,NA,0.524,5.83
845RB8633,Coyote Creek Random Olsen Site 633,845RB8633,33.87181,-118.01959,845,Los Angeles,SanGabriel,Urban,Urban,SMCR8_633,22524969,SC,SCx,SCx,7/26/2011,2011,0.377895017,7/26/2011,NA,0,0,0,0,0,NA,NA,NA,NA,1346,NA,NA,NA,NA,NA,NA,NA,
845RB8633,Coyote Creek Random Olsen Site 633,845RB8633,33.87181,-118.01959,845,Los Angeles,SanGabriel,Urban,Urban,SMCR8_633,22524969,SC,SCx,SCx,7/8/2013,2013,0.342781201,7/8/2013,NA,0,0,0.39,0,0,NA,NA,NA,NA,1258,0.08,1.78,0.17,NA,NA,2.36,0.052,2.36
SMCR8_633,NA,845RB8633,33.87181,-118.0196,845,Los Angeles,SanGabriel,Urban,Urban,SMCR8_633,22524969,SC,SCx,SCx,7/26/2011,2011,0.377895017,7/26/2011,NA,0,0,0,0,0,NA,NA,NA,NA,1346,NA,NA,NA,NA,NA,NA,NA,
SMCR8_633,NA,845RB8633,33.87181,-118.0196,845,Los Angeles,SanGabriel,Urban,Urban,SMCR8_633,22524969,SC,SCx,SCx,7/8/2013,2013,0.342781201,7/8/2013,NA,0,0,0.39,0,0,NA,NA,NA,NA,1258,0.08,1.78,0.17,NA,NA,2.36,0.052,2.36
412LARRHO,Rio Hondo,412LARRHO,33.9377,-118.1707,412,Los Angeles,LosAngeles,Urban,Urban,LALT500,22518270,SC,SCx,SCx,6/29/2005,2005,0.157130175,6/29/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280,0.069,0.154,0.0084,NA,2.98,NA,0.102,3.1424
405SGB036,San Gabriel Random Site 36,405SGB036,33.95935,-117.9822,405,Los Angeles,SanGabriel,SMC_out,Other,405SGB036,22525625,SC,SCx,SCx,5/25/2005,2005,0.497946728,5/25/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3494,NA,0.214,NA,NA,0.58,NA,0.048,
405SGB004,San Gabriel Random Site 4,405SGB004,33.98064,-117.92943,405,Los Angeles,SanGabriel,SMC_out,Other,405SGB004,22525605,SC,SCx,SCx,5/18/2005,2005,0.207520602,5/18/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1374,NA,0.964,0.0099,NA,0.33,NA,0.127,1.3039
404R4S089,Centinela Creek,404R4S089,33.98426,-118.41426,404,Los Angeles,SantaMonica,SMC_out,Urban,404R4S089,20366115,SC,SCx,SCx,5/28/2015,2015,0.320171345,5/28/2015,19,0,0.69,0,0.05,5,NA,NA,NA,NA,3067.7,0.0371,0.316,0.0401,NA,NA,2.15,0.0908,2.15
412LAR007,Los Angeles Random Site 7,412LAR007,33.99431,-118.18055,412,Los Angeles,LosAngeles,Urban,Urban,412LAR007,22514430,SC,SCm,SCm,6/29/2005,2005,0.221822257,6/29/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1323,0.059,2.6,1.42,NA,2.86,NA,0.597,6.88
412LAR031,Los Angeles Random Site 31,412LAR031,33.99525,-118.10604,412,Los Angeles,LosAngeles,Urban,Urban,412LAR031,22519452,SC,SCx,SCx,6/28/2005,2005,0.190818814,6/28/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,0.12,0.0172,NA,NA,2.39,NA,0.297,
404CE0316,Ballona Creek below Sepulvida Blvd,404CE0316,33.99722,-118.4025,404,Los Angeles,SantaMonica,SMC_out,Urban,404CE0316,20366291,SC,SCx,SCx,7/24/2007,2007,0.441756142,7/24/2007,NA,0,0,0,0,0,NA,NA,NA,NA,1139,NA,NA,NA,NA,NA,NA,NA,
404SMB024,Corral Canyon Creek Lower,404SMB024,34.03362,-118.73423,404,Los Angeles,SantaMonica,SMC_out,Urban,L_CORRALCYN,20365897,SC,SCx,SCx,3/5/2003,2003,1.045595242,3/5/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
404SMB035,Las Flores Canyon Creek Lower,404SMB035,34.03748,-118.63697,404,Los Angeles,SantaMonica,Open,Urban,R2_LASFLORES,20365165,SC,SCx,SCx,3/5/2003,2003,0.722612076,3/5/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
404BA1166,Malibu Watershed Unknown River Random Site 1166,404BA1166,34.03761,-118.75038,404,Los Angeles,SantaMonicaBay,Open,Other,404BA1166,20365911,SC,SCx,SCx,6/10/2008,2008,0.89962005,6/10/2008,52,5,1.53,1.4,0.51,199,NA,NA,NA,NA,1131,NA,NA,NA,NA,0.141,NA,0.0092,
404BA1166,Malibu Watershed Unknown River Random Site 1166,404BA1166,34.03761,-118.75038,404,Los Angeles,SantaMonicaBay,Open,Other,404BA1166,20365911,SC,SCx,SCx,6/4/2009,2009,1.050829639,6/4/2009,46,20,1.73,1.83,1,167,79,67,12,9,169.9,NA,NA,NA,0.0276,NA,0.219,0.0267,0.219
404SMB021,Solstice Canyon Creek Middle,404SMB021,34.03849,-118.75234,404,Los Angeles,SantaMonica,SMC_out,Other,R1_SOLSCRK,20365151,SC,SCx,SCx,3/4/2003,2003,0.935969649,3/4/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
404SMB021,Solstice Canyon Creek Middle,404SMB021,34.03849,-118.75234,404,Los Angeles,SantaMonica,SMC_out,Other,R1_SOLSCRK,20365151,SC,SCx,SCx,3/17/2004,2004,0.926575005,3/17/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
404SMB010,Encinal Canyon Creek Lower,404SMB010,34.03934,-118.86875,404,Los Angeles,SantaMonica,SMC_out,Other,404BA0526,20365143,SC,SCx,SCx,3/4/2003,2003,0.836861897,3/4/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,NA,0.0318,NA,NA,0.28,0.313,0.066,0.313
404SMB041,Tuna Canyon Creek Lower,404SMB041,34.0396,-118.58955,404,Los Angeles,SMC_out,SMC_out,Urban,R3_TUNACYN,-9999,SC,SCx,SCx,3/6/2003,2003,0.819646035,3/6/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
404R4S070,Los Allos Canyon Creek,404R4S070,34.042,-118.89747,404,Los Angeles,SantaMonica,SMC_out,Other,404R4S070,20365129,SC,SCx,SCx,5/27/2015,2015,0.900794532,5/27/2015,66,44,1.66,1.5,0.76,155,78,66.67,9,NA,1375,NA,NA,NA,NA,NA,0.0845,0.0221,0.0845
404R4S070,Los Allos Canyon Creek,404R4S070,34.042,-118.89747,404,Los Angeles,SantaMonica,SMC_out,Other,404R4S070,20365129,SC,SCx,SCx,5/4/2016,2016,0.55542167,5/4/2016,NA,50,1.45,1.52,0.79,129,85,77.78,9,NA,1412,NA,0.06,0.08,NA,NA,0.11,0.041,0.11
404BA0526,Encinal Canyon Random Site 526,404BA0526,34.04298,-118.87219,404,Los Angeles,SantaMonica,SMC_out,Other,404BA0526,20365143,SC,SCx,SCx,6/4/2008,2008,1.054678426,6/4/2008,42,17,1.49,1.86,0.57,182,NA,NA,NA,NA,1909,NA,NA,NA,NA,0.448,NA,0.0911,
404SMB011,Trancas Canyon Creek Upper,404SMB011,34.04347,-118.84541,404,Los Angeles,SantaMonica,Open,Other,pepTRANCAS,20365177,SC,SCx,SCx,3/4/2003,2003,0.732684716,3/4/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
