,O.diatom,E.diatom,OoverE.diatom,Onull.diatom,Enull.diatom,OoverE.null.diatom,BC.diatom,BC.null.diatom,Type.diatom,Type.diatom.1,MMI.diatom,Type.null.diatom,MMI.null.diatom,ASCI.diatom,ASCI.null.diatom,O.sba,E.sba,OoverE.sba,Onull.sba,Enull.sba,OoverE.null.sba,BC.sba,BC.null.sba,Type.sba,Type.sba.1,MMI.sba,Type.null.sba,MMI.null.sba,ASCI.sba,ASCI.null.sba,O.hybrid,E.hybrid,OoverE.hybrid,Onull.hybrid,Enull.hybrid,OoverE.null.hybrid,BC.hybrid,BC.null.hybrid,Type.hybrid,Type.hybrid.1,MMI.hybrid,Type.null.hybrid,MMI.null.hybrid,ASCI.hybrid,ASCI.null.hybrid,zed
000CAT148_8.10.10_1,7,8.010667507,0.873834795,8,8.674796748,0.922211809,0.206171316,0.178612059,other,Reference,1.268389934,Reference,1.268389934,1.071112365,1.095300872,1,3.331640965,0.300152391,1,4.943349754,0.202291978,0.553299991,0.679237464,other,Reference,1.096252644,Reference,1.096252644,0.698202517,0.649272311,9,9.851971317,0.913522757,9,10.00478469,0.899569584,0.230762149,0.254783484,other,Reference,1.195055478,Reference,1.195055478,1.054289117,1.047312531,000CAT148_8.10.10_1
000CAT228_8.10.10_1,8,8.791656502,0.909953659,8,8.674796748,0.922211809,0.256813812,0.178612059,other,Reference,1.16459416,Reference,1.16459416,1.03727391,1.043402985,1,3.750900432,0.266602651,1,4.943349754,0.202291978,0.59180998,0.679237464,other,Reference,1.096252644,Reference,1.096252644,0.681427648,0.649272311,8,9.574842505,0.835522882,9,10.00478469,0.899569584,0.280583797,0.254783484,other,Reference,1.151447996,Reference,1.151447996,0.993485439,1.02550879,000CAT228_8.10.10_1
102PS0139_8.9.10_1,8,8.175734313,0.978505379,8,8.674796748,0.922211809,0.149675468,0.178612059,int,Intermediate,0.919722119,Intermediate,0.919722119,0.949113749,0.920966964,3,3.891169166,0.770976504,3,4.943349754,0.606875934,0.345526165,0.511317829,int,Intermediate,0.964023693,Intermediate,0.964023693,0.867500099,0.785449814,11,10.08362976,1.090877022,10,10.00478469,0.99952176,0.207217596,0.235350395,int,Intermediate,0.934588174,Intermediate,0.934588174,1.012732598,0.967054967,102PS0139_8.9.10_1
102PS0177_8.28.12_1,7,8.003394285,0.874628908,8,8.674796748,0.922211809,0.227512275,0.228343897,rc,Reference,1.329094384,Reference,1.329094384,1.101861646,1.125653096,3,3.263361734,0.919297413,5,4.943349754,1.01145989,0.30975057,0.403022046,rc,Reference,0.993651288,Reference,0.993651288,0.956474351,1.002555589,9,10.69162237,0.841780573,10,10.00478469,0.99952176,0.285050651,0.270509448,rc,Reference,1.196512781,Reference,1.196512781,1.019146677,1.098017271,102PS0177_8.28.12_1
102PS0177_8.28.12_2,7,8.083291543,0.865983859,7,8.674796748,0.806935333,0.274169897,0.254840941,other,Reference,1.329094384,Reference,1.329094384,1.097539121,1.068014858,4,4.683363177,0.854087084,4,4.943349754,0.809167912,0.346885972,0.435968053,other,Reference,0.789812751,Reference,0.789812751,0.821949918,0.799490332,10,12.57451868,0.795259068,9,10.00478469,0.899569584,0.250882186,0.288519637,other,Reference,1.209135987,Reference,1.209135987,1.002197528,1.054352786,102PS0177_8.28.12_2
103CDCHHR_9.14.10_1,8,7.547188362,1.059997395,8,8.674796748,0.922211809,0.165456764,0.178612059,rc,Reference,0.842088007,Reference,0.842088007,0.951042701,0.882149908,2,3.188905717,0.627174391,2,4.943349754,0.404583956,0.392567527,0.520397304,rc,Reference,0.98600469,Reference,0.98600469,0.80658954,0.695294323,11,10.51102382,1.046520319,10,10.00478469,0.99952176,0.189248211,0.22195647,rc,Reference,0.8369236,Reference,0.8369236,0.941721959,0.91822268,103CDCHHR_9.14.10_1
103CDCHHR_9.14.10_2,7,7.617001729,0.918996772,9,8.674796748,1.037488285,0.142219578,0.154247163,other,Reference,0.911692734,Reference,0.911692734,0.915344753,0.974590509,2,1.480445016,1.35094514,2,4.943349754,0.404583956,0.14927832,0.520397304,other,Reference,0.98600469,Reference,0.98600469,1.168474915,0.695294323,10,8.959815729,1.116094382,10,10.00478469,0.99952176,0.131534694,0.214541976,other,Reference,0.904994536,Reference,0.904994536,1.010544459,0.952258148,103CDCHHR_9.14.10_2
103FC1106_7.15.14_1,8,8.095338434,0.988223045,7,8.674796748,0.806935333,0.143934429,0.203665284,other,NA,1.09926137,NA,1.09926137,1.043742208,0.953098351,5,4.879263884,1.02474474,4,4.943349754,0.809167912,0.322912328,0.450289177,other,NA,1.029415586,NA,1.029415586,1.027080163,0.919291749,10,9.355159586,1.068928852,10,10.00478469,0.99952176,0.272415032,0.239416408,other,NA,0.989387074,NA,0.989387074,1.029157963,0.994454417,103FC1106_7.15.14_1
103FCA168_7.24.13_1,9,7.963296035,1.130185285,8,8.674796748,0.922211809,0.121716406,0.178612059,int,Intermediate,0.965448347,Intermediate,0.965448347,1.047816816,0.943830078,4,3.841903015,1.041150696,4,4.943349754,0.809167912,0.307096866,0.450289177,int,Intermediate,1.015317227,Intermediate,1.015317227,1.028233962,0.912242569,10,7.476599296,1.337506479,11,10.00478469,1.099473936,0.222395492,0.223917995,int,Intermediate,0.950795926,Intermediate,0.950795926,1.144151203,1.025134931,103FCA168_7.24.13_1
103KLCMSR_9.14.10_1,9,8.970858892,1.003248419,9,8.674796748,1.037488285,0.216490968,0.188592456,rc,Reference,0.8861129,Reference,0.8861129,0.94468066,0.961800593,2,2.124755567,0.941284744,3,4.943349754,0.606875934,0.276524909,0.505116279,rc,Reference,1.090285108,Reference,1.090285108,1.015784926,0.848580521,11,10.37986468,1.059744066,10,10.00478469,0.99952176,0.211915336,0.255202105,rc,Reference,0.977297031,Reference,0.977297031,1.018520549,0.988409395,103KLCMSR_9.14.10_1
103PS0217_9.10.13_1,10,7.778631805,1.285573125,10,8.674796748,1.152764761,0.124945959,0.134523291,int,Intermediate,0.801635201,Intermediate,0.801635201,1.043604163,0.977199981,3,3.082636447,0.973192931,3,4.943349754,0.606875934,0.322723648,0.487131783,int,Intermediate,0.835321564,Intermediate,0.835321564,0.904257247,0.721098749,11,9.449728341,1.164054627,12,10.00478469,1.199426112,0.135826195,0.203087628,int,Intermediate,0.847263432,Intermediate,0.847263432,1.005659029,1.023344772,103PS0217_9.10.13_1
103RDCBCC_7.21.11_1,8,8.057933314,0.9928104,7,8.674796748,0.806935333,0.146941887,0.203665284,int,Intermediate,0.79598606,Intermediate,0.79598606,0.89439823,0.801460696,7,5.216277742,1.341953083,6,4.943349754,1.213751868,0.289748131,0.340535674,int,Intermediate,1.116127085,Intermediate,1.116127085,1.229040084,1.164939477,12,9.27960254,1.293158834,11,10.00478469,1.099473936,0.229285945,0.208883827,int,Intermediate,0.911892595,Intermediate,0.911892595,1.102525715,1.005683266,103RDCBCC_7.21.11_1
103STCNSR_8.9.11_1,4,8.635221833,0.463219136,4,8.674796748,0.461105904,0.461790971,0.471883686,rv,Reference,0.854476832,Reference,0.854476832,0.658847984,0.657791368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8.782859967,0.341574386,3,10.00478469,0.299856528,0.585727493,0.614054452,rv,Reference,0.948586376,Reference,0.948586376,0.645080381,0.624221452,103STCNSR_8.9.11_1
103WER026_8.15.12_1,6,7.805088712,0.768729251,8,8.674796748,0.922211809,0.190590809,0.188688445,rc,Reference,0.995176719,Reference,0.995176719,0.881952985,0.958694264,6,3.475322388,1.726458535,9,4.943349754,1.820627803,0.266447674,0.290937997,rc,Reference,1.148203282,Reference,1.148203282,1.437330909,1.484415543,8,8.100735772,0.987564615,11,10.00478469,1.099473936,0.170535996,0.21070615,rc,Reference,1.088924791,Reference,1.088924791,1.038244703,1.094199364,103WER026_8.15.12_1
103WER026_8.15.12_2,7,6.917019528,1.011996565,8,8.674796748,0.922211809,0.177733614,0.188688445,other,Reference,0.991233835,Reference,0.991233835,1.0016152,0.956722822,9,6.449849775,1.395381337,9,4.943349754,1.820627803,0.165059872,0.290937997,other,Reference,1.277571698,Reference,1.277571698,1.336476517,1.549099751,13,12.43012727,1.04584609,11,10.00478469,1.099473936,0.181051479,0.21070615,other,Reference,1.209040966,Reference,1.209040966,1.127443528,1.154257451,103WER026_8.15.12_2
103WER029_7.16.14_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.996335679,1.50137538,7,4.943349754,1.416043847,0.281971493,0.328108888,rv,Reference,1.152257923,Reference,1.152257923,1.326816652,1.284150885,3,8.056050483,0.372390914,4,10.00478469,0.399808704,0.619990435,0.611889306,rv,Reference,0.826314458,Reference,0.826314458,0.599352686,0.613061581,103WER029_7.16.14_1
103WER030_8.10.11_1,5,7.930053323,0.630512784,6,8.674796748,0.691658857,0.292237329,0.293813481,rv,Reference,0.891487474,Reference,0.891487474,0.761000129,0.791573165,2,3.721423088,0.537428815,2,4.943349754,0.404583956,0.434541801,0.562256119,rv,Reference,0.863020459,Reference,0.863020459,0.700224637,0.633802207,8,9.951199684,0.80392317,7,10.00478469,0.699665232,0.283705104,0.333427124,rv,Reference,0.96828249,Reference,0.96828249,0.88610283,0.833973861,103WER030_8.10.11_1
105BVCAGC_9.21.10_1,6,7.973866683,0.752458028,5,8.674796748,0.576382381,0.291658688,0.35869996,rc,Reference,0.820465675,Reference,0.820465675,0.786461852,0.698424028,3,2.069305949,1.449761453,5,4.943349754,1.01145989,0.183593979,0.381719098,rc,Reference,1.212713877,Reference,1.212713877,1.331237665,1.112086883,9,10.49633007,0.857442548,8,10.00478469,0.799617408,0.304084803,0.317565772,rc,Reference,0.991491464,Reference,0.991491464,0.924467006,0.895554436,105BVCAGC_9.21.10_1
105CE0329_7.23.14_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.631049599,1.377012311,8,4.943349754,1.618335825,0.258777961,0.305042816,rc,Reference,1.105525181,Reference,1.105525181,1.241268746,1.361930503,5,10.71893099,0.466464427,4,10.00478469,0.399808704,0.555957507,0.611889306,rc,Reference,0.824516494,Reference,0.824516494,0.645490461,0.612162599,105CE0329_7.23.14_1
105CLCATC_8.10.10_1,8,7.769752311,1.029633852,9,8.674796748,1.037488285,0.16325099,0.167433303,rc,Reference,0.941987732,Reference,0.941987732,0.985810792,0.989738009,5,5.86976444,0.85182294,5,4.943349754,1.01145989,0.468004898,0.455040872,rc,Reference,1.062598509,Reference,1.062598509,0.957210724,1.0370292,8,9.238019348,0.865986495,9,10.00478469,0.899569584,0.29153209,0.25755287,rc,Reference,1.090374763,Reference,1.090374763,0.978180629,0.994972173,105CLCATC_8.10.10_1
105CR0901_7.23.14_1,9,9.752285393,0.922860605,9,8.674796748,1.037488285,0.242944787,0.191045692,other,NA,1.253007615,NA,1.253007615,1.08793411,1.14524795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9.178128602,0.871637384,8,10.00478469,0.799617408,0.357962107,0.342280096,other,NA,1.100787282,NA,1.100787282,0.986212333,0.950202345,105CR0901_7.23.14_1
105CR0901_8.11.14_1,13,9.752285393,1.333020874,11,8.674796748,1.268041237,0.142742347,0.118181818,other,NA,1.000347822,NA,1.000347822,1.166684348,1.134194529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10.0437825,0.995640835,10,10.00478469,0.99952176,0.282746095,0.271466156,other,NA,1.069189114,NA,1.069189114,1.032414974,1.034355437,105CR0901_8.11.14_1
105CR0906_8.12.14_1,12,9.746098587,1.231261914,11,8.674796748,1.268041237,0.164719039,0.118181818,other,NA,1.268058377,NA,1.268058377,1.249660146,1.268049807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10.08135259,0.89273735,10,10.00478469,0.99952176,0.296374492,0.271466156,other,NA,1.210942086,NA,1.210942086,1.051839718,1.105231923,105CR0906_8.12.14_1
105CR0908_7.22.14_1,11,9.522124398,1.1552044,10,8.674796748,1.152764761,0.184924941,0.134523291,other,NA,0.994418921,NA,0.994418921,1.07481166,1.073591841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10.75626241,0.743752773,9,10.00478469,0.899569584,0.391013349,0.289526687,other,NA,0.844472887,NA,0.844472887,0.79411283,0.872021236,105CR0908_7.22.14_1
105CR0913_8.12.14_1,10,8.723857684,1.146281881,10,8.674796748,1.152764761,0.174217423,0.175156001,other,NA,1.194801107,NA,1.194801107,1.170541494,1.173782934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10.08920399,0.892042623,9,10.00478469,0.899569584,0.33013276,0.324773414,other,NA,1.00782883,NA,1.00782883,0.949935727,0.953699207,105CR0913_8.12.14_1
105CR1004_7.23.14_1,8,9.759543543,0.819710467,8,8.674796748,0.922211809,0.306093889,0.248171624,other,NA,0.935942964,NA,0.935942964,0.877826715,0.929077386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9.156366201,0.655281786,7,10.00478469,0.699665232,0.441677113,0.397017445,other,NA,0.826418879,NA,0.826418879,0.740850333,0.763042055,105CR1004_7.23.14_1
105DLCDCC_10.20.09_1,9,8.952487721,1.005307159,9,8.674796748,1.037488285,0.224833073,0.188285802,rc,Reference,1.181403479,Reference,1.181403479,1.093355319,1.109445882,4,4.009604621,0.997604596,4,4.943349754,0.809167912,0.359045125,0.419443679,rc,Reference,1.054222847,Reference,1.054222847,1.025913722,0.93169538,12,11.76852698,1.019668818,10,10.00478469,0.99952176,0.270291639,0.241090648,rc,Reference,0.962793828,Reference,0.962793828,0.991231323,0.981157794,105DLCDCC_10.20.09_1
105DLCDCC_5.19.09_1,10,9.645773406,1.036723504,9,8.674796748,1.037488285,0.141286994,0.154247163,other,Reference,1.309024124,Reference,1.309024124,1.172873814,1.173256205,3,6.410728837,0.467965512,3,4.943349754,0.606875934,0.480227871,0.438139535,other,Reference,0.908752706,Reference,0.908752706,0.688359109,0.75781432,12,10.94229657,1.096661923,11,10.00478469,1.099473936,0.307757676,0.197949886,other,Reference,1.087005873,Reference,1.087005873,1.091833898,1.093239904,105DLCDCC_5.19.09_1
105DLCDCC_6.23.09_1,10,9.645773406,1.036723504,9,8.674796748,1.037488285,0.141286994,0.154247163,other,Reference,1.338769072,Reference,1.338769072,1.187746288,1.188128679,5,6.508618666,0.768212159,4,4.943349754,0.809167912,0.37552499,0.392453869,other,Reference,1.064733321,Reference,1.064733321,0.91647274,0.936950617,13,11.07924168,1.173365504,11,10.00478469,1.099473936,0.270830704,0.197949886,other,Reference,1.128179545,Reference,1.128179545,1.150772525,1.113826741,105DLCDCC_6.23.09_1
105DLCDCC_8.5.09_1,10,9.645773406,1.036723504,9,8.674796748,1.037488285,0.149596528,0.164980067,other,Reference,1.090202669,Reference,1.090202669,1.063463086,1.063845477,5,5.454256962,0.916715152,4,4.943349754,0.809167912,0.350052243,0.385293308,other,Reference,0.942833849,Reference,0.942833849,0.929774501,0.876000881,13,12.59912676,1.031817542,12,10.00478469,1.199426112,0.213534627,0.196129593,other,Reference,1.043477768,Reference,1.043477768,1.037647655,1.12145194,105DLCDCC_8.5.09_1
