CSCI_class,H20_class,bmiscore,algscore,Bio_BPJ,Bio_WP,BugMidpoint,AlgMidpoint
2,6,5,-5,-3,-5,1.15,NA
3,6,3,-5,-4,-5,0.885,NA
4,6,-1,-5,-5,-5,0.685,NA
5,6,-3,-5,-5,-5,0.45,NA
6,2,-5,5,-3,-5,0.15,95
6,3,-5,3,-4,-5,0.15,75
6,4,-5,-1,-5,-5,0.15,42.5
6,5,-5,-3,-5,-5,0.15,12.5
6,6,-5,-5,-5,-5,0.15,NA
5,2,-3,5,-2,-3,0.45,95
5,3,-3,3,-3,-3,0.45,75
5,4,-3,-1,-4,-3,0.45,42.5
5,5,-3,-3,-4,-3,0.45,12.5
2,5,5,-3,-2,-3,1.15,12.5
3,5,3,-3,-3,-3,0.885,12.5
4,2,-1,5,-1,-1,0.685,95
4,3,-1,3,-2,-1,0.685,75
4,4,-1,-1,-3,-1,0.685,42.5
4,5,-1,-3,-4,-3,0.685,12.5
2,4,5,-1,-1,-1,1.15,42.5
3,4,3,-1,-2,-1,0.885,42.5
2,3,5,3,3,3,1.15,75
3,2,3,5,3,3,0.885,95
3,3,3,3,1,3,0.885,75
2,2,5,5,5,5,1.15,95
